Track ID,Track Name,Artist,Album,Duration (ms),Popularity,Year,Explicit Content,Danceability,Energy,Loudness,Speechiness,Genre
1sh6lL6cmlcwhqZKGiKBua,I Could Be The One (Avicii Vs. Nicky Romero) - Radio Edit,Avicii,I Could Be The One [Avicii vs Nicky Romero],208316,74,2012,0,0.509,0.79,-3.782,0.0374,"dance pop, edm, pop, pop dance"
1fXiYSWmkKJfRKMegCkI11,I Will Wait,Mumford & Sons,Babel (Deluxe Version),276720,73,2012,0,0.478,0.758,-5.4,0.0331,"modern folk rock, modern rock, neo mellow, stomp and holler, uk americana"
2OQJKTtrH482waGFmOfJni,We Own It (Fast & Furious),2 Chainz,B.O.A.T.S. II #METIME (Deluxe),227906,73,2013,0,0.563,0.902,-4.586,0.402,"atl hip hop, hip hop, pop rap, rap, southern hip hop, trap"
0qwcGscxUHGZTgq0zcaqk1,Here's to Never Growing Up,Avril Lavigne,Avril Lavigne (Expanded Edition),214320,73,2013,1,0.482,0.873,-3.145,0.0853,"canadian pop, candy pop, dance pop, pop"
3KliPMvk1EvFZu9cvkj8p1,Work Bitch,Britney Spears,Britney Jean (Deluxe Version),247960,72,2013,1,0.629,0.824,-6.53,0.159,"dance pop, pop"
1QNqrsNQ1JVLEwncov3lEY,True Love (feat. Lily Allen),P!nk,The Truth About Love,230733,72,2012,1,0.457,0.823,-4.76,0.311,"dance pop, pop"
5CMjjywI0eZMixPeqNd75R,Lose Yourself to Dance (feat. Pharrell Williams),Daft Punk,Random Access Memories,353893,71,2013,0,0.832,0.659,-7.828,0.057,"electro, filter house, rock"
6ce41JVa6KFaryfmC2bu2W,22,Taylor Swift,Red (Big Machine Radio Release Special),232120,72,2012,0,0.661,0.729,-6.561,0.0376,pop
0S4RKPbRDA72tvKwVdXQqe,The Way,Ariana Grande,Yours Truly,227026,71,2013,0,0.645,0.878,-3.208,0.113,pop
4g6m1iaAsgdgDqgxGtvY0C,Animals - Radio Edit,Martin Garrix,Animals,176117,71,2013,0,0.595,0.914,-5.351,0.0363,"dutch edm, edm, pop, pop dance, progressive house"
6g6A7qNhTfUgOSH7ROOxTD,Talk Dirty (feat. 2 Chainz),Jason Derulo,Talk Dirty,177685,70,2013,1,0.76,0.652,-7.321,0.232,"dance pop, pop"
6Xk7PnitV9jCRorWt2LiVZ,Berzerk,Eminem,The Marshall Mathers LP2 (Deluxe),238746,69,2013,1,0.739,0.872,-4.059,0.333,"detroit hip hop, hip hop, rap"
3Tu7uWBecS6GsLsL8UONKn,Don't Stop the Party (feat. TJR),Pitbull,Global Warming: Meltdown (Deluxe Version),206120,70,2012,0,0.722,0.958,-3.617,0.0912,"dance pop, miami hip hop, pop"
5DI9jxTHrEiFAhStG7VA8E,Started From the Bottom,Drake,Nothing Was The Same,174133,70,2013,1,0.793,0.524,-7.827,0.156,"canadian hip hop, canadian pop, hip hop, pop rap, rap"
4bZd0nRuX8HyjeXAUBczvm,I Cry,Flo Rida,Wild Ones,223800,69,2012,0,0.693,0.822,-5.441,0.0439,"dance pop, miami hip hop, pop, pop rap"
01TuObJVd7owWchVRuQbQw,#thatPOWER,will.i.am,#willpower (Deluxe),279506,70,2013,0,0.797,0.608,-6.096,0.0584,"dance pop, pop"
5jyUBKpmaH670zrXrE0wmO,Reload - Radio Edit,Sebastian Ingrosso,Reload (Vocal Version / Radio Edit),221272,69,2013,0,0.485,0.724,-4.633,0.0521,"dutch house, edm, electro house, pop dance, progressive electro house, progressive house"
0mvkwaZMP2gAy2ApQLtZRv,It's a Beautiful Day,Michael Bublé,To Be Loved,199266,69,2013,0,0.532,0.795,-3.979,0.0358,"adult standards, canadian pop, jazz pop, lounge"
1KtD0xaLAikgIt5tPbteZQ,Thinking About You (feat. Ayah Marar),Calvin Harris,18 Months,247933,70,2012,0,0.725,0.874,-3.715,0.0396,"dance pop, edm, electro house, house, pop, pop dance, progressive house, uk dance"
6vt0I1cw1YmAIKDJvHVIM5,Suit & Tie (feat. Jay-Z),Justin Timberlake,The 20/20 Experience (Deluxe Version),326280,70,2013,1,0.795,0.596,-3.799,0.219,"dance pop, pop"
6KkyuDhrEhR5nJVKtv9mCf,High Hopes,Kodaline,In A Perfect World (Expanded Edition),230266,69,2013,0,0.488,0.487,-6.371,0.0305,"irish pop, modern rock"
5VSCgNlSmTV2Yq5lB40Eaw,Love Me Again,John Newman,Tribute,239894,69,2013,0,0.495,0.894,-4.814,0.0441,dance pop
0rFZaQ4crlGAzuCjWCQ2xu,Body Party,Ciara,Ciara,234040,68,2013,0,0.577,0.576,-6.299,0.0563,"dance pop, hip pop, pop, r&b, urban contemporary"
3jZomvOBa5qfTo5HkqI1p5,One Way or Another (Teenage Kicks),One Direction,One Way Or Another (Teenage Kicks),157293,67,2013,0,0.489,0.867,-3.121,0.071,"boy band, pop, post-teen pop, talent show"
5HOpkTTVcmZHnthgyxrIL8,The Fox (What Does the Fox Say?),Ylvis,The Fox (What Does the Fox Say?),213708,67,2013,0,0.703,0.867,-4.292,0.0453,comic
5yhKaacMZGRo4s6evJx9vk,Bad (feat. Rihanna) - Remix,Wale,The Gifted,238826,66,2013,1,0.807,0.702,-6.594,0.0748,"pop rap, r&b, rap, southern hip hop, trap"
1q9bLSeIlGf2xBvbOkp2Wr,Holy Grail,JAY-Z,Magna Carta... Holy Grail,338413,66,2013,1,0.676,0.534,-6.901,0.0831,"east coast hip hop, gangster rap, hip hop, pop rap, rap"
